,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-10-29,4,"""ミツバチ8822さん"" ",https://review.rakuten.co.jp/my/NGNhOGIzYzU1MGQ1YmUxYQ__/1.0.0.1/,20代 男性,"
","
","
","
","値段は高いが、それなりにいいと思う。　

プレゼント用で購入。"
2020-10-22,5,"""♪レバ刺し♪さん"" ",https://review.rakuten.co.jp/my/ZGI0ZGIxMWQwMGE1MjY_/1.0.0.1/,40代 女性,"
","
","
","
",フケが止まりました。詰め替えが販売されているので今後は詰め替え用に変えます
2020-10-18,5,"ゲストさん"" ","
","
","
","
","
","
","使って2日目ですが、抜け毛が減りました。　

香りも好きですし、サラサラになりました。"
2020-10-18,5,"ゲストさん"" ","
","
","
","
","
","
",迅速な対応ありがとうございました。いつもシャンプー後頭皮が痒くなるのですが、なりませんでした。様子を見てみます。
2020-10-14,5,"ゲストさん"" ","
","
","
","
","
","
",色々使ってみましたが私にはとてもあってました。又 次回購入したいです。
2020-10-12,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,泡立ちが素晴らしい！,今まで使用していたノンシリコンシャンプーでは、お昼過ぎには地肌がベタついてきていたのですが、こちらは夜まで大丈夫です。泡立ちもとても良く、二度洗いはまったく不要。香りは好き嫌いがあるのかも知れませんが、私はほっと出来て好きな香りです。
2020-10-12,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,良いです。,リピートです。エイジングケアに良いです。長く使用してみようと思います。ありがとうございました。
2020-10-02,5,"ゲストさん"" ","
","
","
","
","
",オーガニック商品,"オーガニックの物をさがしており、こちらを注文しました。地肌についても良いとのことで安心して　

使用しています。　

この季節の変わり目は抜け毛で悩んでいましたが、こちらを使ってからは少し抜け毛が減ったように感じます。ありがとうございます。"
2020-09-29,5,"""yukari1020さん"" ",https://review.rakuten.co.jp/my/NDQ5YzM5MGY1MTQ4MzUxNg__/1.0.0.1/,20代 女性,"
","
","
","
","泡立ち、香りがよくて洗い上がりもまとまりが良くなりました。　

頭皮もケアできるので夕方以降も匂いが気にならないです"
2020-09-26,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","使い始めてから髪が扱いやすくなりました。　

香りも良いですし購入して良かったです。"
