,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-10-30,5,"ゲストさん"" ","
","
","
","
","
","
","肌が弱いのでもう10年くらい愛用しています。もうやめられません。　

近くのお店でこのお値段では買えないので定期的に購入しています。　

本当にお世話になっていてありがたいと思います。"
2020-10-23,5,"""ラシーン1223さん"" ",https://review.rakuten.co.jp/my/M2FlMmI0ZDhhNmRhNzk_/1.0.0.1/,30代 女性,"
","
","
","
",もう長年愛用しております。旦那が。他のものにはいけないようです。
2020-10-14,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,"
","
","リピーターです。　

夫用ですが、頭皮をスッキリさせたいときに使っています。"
2020-10-13,5,"ゲストさん"" ","
","
","
","
","
","
",子供の頭皮がカサカサで治らず、病院で勧められました。薬ではどおにもならなかったのが使い始めて数日マシになってきたように思います。低刺激のシャンプー使ったりしてましたが早くこちらに替えてあげればよかったなと思いました。お値段はしますが、少量で泡立ちいいのでコスパ良さそうです。
2020-09-22,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","このシャンプーは痒みもフケも止めてくれます。　

在庫を切らしてしまい違う物を使用したところ大変なことになってしまい、慌てて注文しました。　

すぐに届いて助かりました。　

私にとってこのシャンプーは医者いらずです。"
2020-09-19,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,もうこのシャンプー以外使えません,"普通の市販のシャンプーだと肌が荒れてしまうのでこのシャンプーを使っています。　

こちらのショップが1番安いので購入し続けています。対応も早いので助かっています。"
2020-09-18,5,"""ホーリー06さん"" ",https://review.rakuten.co.jp/my/MTE2OGNlYzA4YzUwY2E_/1.0.0.1/,40代 男性,"
","
","
","
",ドラッグストアで買うより、断然お得です！
2020-09-01,5,"""ロンテさん"" ",https://review.rakuten.co.jp/my/MjhjMTI2ZWRkNjc4MmI_/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,なくてはならないシャンプー,"このシャンプーのお陰で子供と旦那のフケ痒みが治まっています。　

お値段は高いシャンプーですが、治療だと思って購入しています。　

2パックセットでありがたいです。"
2020-08-15,5,"""サンドルビーさん"" ",https://review.rakuten.co.jp/my/NGU1M2U2ZjYyMTVh/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,気になる臭いが無くなります,"このシャンプー以外 使えません　

とにかく 臭いが無くなるのがすごいです　

シャンプーだけでは もったいなので　

髪を洗った時の泡で全身洗います　

夏の時期 臭い残しをしないように　

最適な商品です"
2020-08-11,5,"""まるみそ13さん"" ",https://review.rakuten.co.jp/my/ZGQ2YWI2MDljNzg0MzAxNA__/1.0.0.1/,30代 男性,"
","
","
","
","乾燥肌でフケに悩まされている主人が何度もリピしています。このシャンプーに変えてからはフケも痒みも落ち着いたそうです。　

ドラッグストアで購入するよりとても安く購入できて助かっています^_^"
2020-08-09,4,"""HIROちゃんさん"" ",https://review.rakuten.co.jp/my/ZjJkNjljZmY0ODFi/1.0.0.1/,60代 男性,実用品・普段使い,自分用,はじめて,"
",価格が高いが、皮膚科の医者の勧めで購入しています。かゆくなる頻度が少なくなっているので、効果があると思っています。
2020-08-07,4,"""いかっぺお父さんさん"" ",https://review.rakuten.co.jp/my/MjJjMDc1NWI5ODU2MjE_/1.0.0.1/,70代以上 男性,"
","
","
",良かった,リピーターです、長年使ってます なかなか良いものです。
2020-08-06,5,"""ぶどうトマトさん"" ",https://review.rakuten.co.jp/my/Y2Y4YzZmMzJiZjNiNDkxMA__/1.0.0.1/,70代以上 男性,実用品・普段使い,自分用,リピート,"
",使用はじめて２~３年、値段は少し高いが使い始めたら他のシャンプーは使えない。フケも出ないので今後も使うつもりです。大変満足しています。
2020-08-02,1,"""ひい8115さん"" ",https://review.rakuten.co.jp/my/MTQyMzQ3ZWUwODhhMmQxMg__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,配送が、、、,プチプチなどに包まれてなくペラペラの薄いビニール袋に宛名が貼ってありそれに入ってただけだった。せめて二重にして欲しい。いくら簡易包装とはいえひどい。袋が傷ついていたし破れる可能性ある
2020-08-01,5,"""ゆっさん2673さん"" ",https://review.rakuten.co.jp/my/ZGViMzhmODBhOTJhOWU_/1.0.0.1/,50代 女性,実用品・普段使い,子供へ,リピート,フケに効果的,息子がフケに悩んでいて、こちらのシャンプーをみつけて使用したところ、ピタッとフケが治まり、それ以来ずっと愛用しております。最初はメーカーの通販を利用していましたが、こちらの方が安かったので、それ以来ずっとこちらで、購入しています。
2020-07-31,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","この商品を使い始めたら頭の痒みがなくなり助かりました。　

何度もリピートしています。"
2020-07-24,5,"""ハラちゃん081さん"" ",https://review.rakuten.co.jp/my/ZWNlZTcwODllNTlhM2MxOQ__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,良いです,"頭皮の乾燥による痒みやフケで皮膚科に相談したところ勧められました。　

これを使う様になって状態が落ち着いたので継続して使用しています。"
2020-07-19,5,"""ほのちささん"" ",https://review.rakuten.co.jp/my/Nzg5NDhkY2Y0YjUzMTY_/1.0.0.1/,40代 女性,実用品・普段使い,子供へ,リピート,無いと困る商品です,"ずーっと使っています。　

15歳の娘が使用。10歳頃から頭皮の炎症によるフケで悩んでいて使い始めました。高価なので症状も良くなったしと、他の一般的な価格のシャンプーに戻したところ、また炎症が！　

お年頃の娘にとっては、切らしてはいけないものＮｏ．1です。なのでこれからも使い続けます。"
2020-07-17,5,"""理沙8755さん"" ",https://review.rakuten.co.jp/my/NDgzNjA5OGVjMTFkOTE_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,"
",リピート買いです。頭皮がひどい状態だったのですがほぼ治りました。
2020-07-17,5,"""あおあお6868さん"" ",https://review.rakuten.co.jp/my/YTg1NGY5MmZjOGQ0YWM_/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,頭皮のフケ・かゆみにオススメ！,"何ヵ月も頭皮のかゆみ・フケに悩んでおり、いろいろなシャンプーを試した結果、このコラージュフルフルが一番効果あり！でした。　

泡立ちはいまいちな気がしますが。　

使い始めてすぐに少しずつかゆみがなくなって、一本使いきったころにはほとんどかゆみがなくなりました。　

トリートメントは別の商品を使っていますが、シャンプーだけは、コラージュフルフルで決まりです。"
2020-07-12,5,"ゲストさん"" ","
","
","
","
","
","
","ずーっと親子で使い続けています。　

しっかり汚れを落としてくれ、リンスをすればさらさらになります。　

これ以外のシャンプーに変える気はありません。　

お安く買えるので助かっています。"
2020-07-10,5,"""十日町角男さん"" ",https://review.rakuten.co.jp/my/YzAyZWE4OWNkNWY3NmM_/1.0.0.1/,40代 男性,"
","
","
",即購入！！,長年フケで悩んでいたのですが（ベビー石鹸も低刺激系シャンプーも効かず）皮膚科でこの試供品をいただき使ってみたところバッチリ出なくなり今回購入しました。ありがたいです。
2020-07-02,5,"""Kikuheyさん"" ",https://review.rakuten.co.jp/my/YjQxY2Y5NmFmMTI3MTU_/1.0.0.1/,50代 男性,実用品・普段使い,自分用,はじめて,"
","ずっと使っているシャンプーなので、良かったです。　

間違えて２セット申し込んでしまってちょっと焦りましたが、ずっと使っているものなので問題なしでした。"
2020-06-28,5,"""でこ42さん"" ",https://review.rakuten.co.jp/my/OGRlZjNjNjc1ZGZkNjIxYg__/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,はじめて,"
",フケに悩んでいた主人の為に買いました。これを使ってからというものウソのようにフケが止まり長い間、悩んでいたので夫婦で喜んでいます。どこのドラッグストアよりもお安く買えて助かりました。
2020-06-20,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",近くのショップよりお安く購入でき良かったです。
2020-06-19,5,"""irodori1010さん"" ",https://review.rakuten.co.jp/my/NTAzY2MxODQ3MzEw/1.0.0.1/,60代 男性,実用品・普段使い,自分用,リピート,"
",少量でも泡立ちがよく、とても気に入っているのでリピート注文しました。
2020-06-13,5,"""aki1233439さん"" ",https://review.rakuten.co.jp/my/ZjA1ZjBkZGNjZWViNmMxYQ__/1.0.0.1/,60代 女性,"
","
","
","
","2回目の購入です、迅速な対応ありがとうございます。　

主人がフケ症で困ってました　

このシャンプーを使いだしたらフケが出なくなり良かったです"
2020-06-11,4,"""パイ☆カジさん"" ",https://review.rakuten.co.jp/my/NmY5NjM4ZmU3YjMz/1.0.0.1/,50代 男性,"
","
","
","
",多と比べて値段も安く、発送対応も満足です。
2020-06-04,5,"""アオリ19730922さん"" ",https://review.rakuten.co.jp/my/NGRkMjNkNGE3MjEwMzUxZQ__/1.0.0.1/,50代 男性,実用品・普段使い,自分用,はじめて,お薦めです！,頭皮の痒みでフケで困っていましたが、この製品を使い1週間使用してほぼ解決しました。黒や紺の服もフケを気にせず買えるので、おじさんですがお洒落な服が着るのが楽しみです。もっと早く使用すれば良かったです。
2020-05-31,4,"""yoimachidukiさん"" ",https://review.rakuten.co.jp/my/OTUxYzlhNDc1MDE3/1.0.0.1/,40代 男性,実用品・普段使い,自分用,リピート,愛用しています。,"フケが出やすいので、使用して、もう十年以上になると思います。以前は、軽く髪に触れるだけで白いものが落ちて、自分でも嫌でした。しかし、この商品を使ってからは、それもなくなり、とても助かっています。この商品以外にも薬用シャンプーは、何種類化試したのですが、悪くはないけれど満足できなかったです。　

ただ、この商品を近隣の店舗で購入すると、シャンプーにしては高いのが難点でした。それで、もう少し安価で買えないかネットで探したところ、こちらに行き着きました。　

値段も手頃でとても助かっています。"
2020-05-28,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,頭皮の臭い気にならなくなった！,"2年前から頭皮の臭いが気になり、１本5000円するシャンプーなど、いろんなシャンプーを使っていましたがあまり効果なし。　

たまたまこちらの商品を発見し、レビューはよかったものの安いのであまり期待せずに使いました。今まで朝になると臭いが気になってましたが、使った翌日から夕方まで頭皮の臭いが気にならない！！　

私の頭皮には合っていたみたいです。　

普段レビューは書かないのですが、私のように頭皮の臭いに悩んでる人の目にとまればいいなと思い書きました。"
