,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-10-14,5,"""あろまっこ0911さん"" ",https://review.rakuten.co.jp/my/MGFlZDNhNjc0MzRlMzAxMA__/1.0.0.1/,50代 女性,"
","
","
","
","色々宣伝されているシャンプーとか有名なシャンプーとかありますが、シャンプーはやはり石鹸シャンプーが好きです。ただ軋むのが気になっていましたが、改良されたのか、軋むことなく、使いやすくなりました。　

これからも使います。この中にアロマを入れて香りもいいし、スッキリします。"
2020-10-07,2,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,ゴワゴワに,"肌断食をしていて、髪も石けんに・・・と思って挑戦。でも自分には合いませんでした。　

髪がゴワゴワしてきて断念。　

デジパやカラーを繰り返していてダメージが激しいからかも。"
2020-10-07,5,"""１７１９さん"" ",https://review.rakuten.co.jp/my/YzAzMThkNjJkY2M0MjAxOA__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,無添加で身体に良さそう,無添加で身体に良さそう。抜け毛もへり、泡切れもよく専用リンスでサラサラになります。
2020-10-07,5,"""１７１９さん"" ",https://review.rakuten.co.jp/my/YzAzMThkNjJkY2M0MjAxOA__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,無添加で身体に良さそう,使ってみて洗った感はないが、泡切れは良い。キシキシ感はありましたが、専用リンスを使用したらくし通りもよい。石鹸の匂いがある。地肌環境はいい感じがする。余分なものが入っていない分身体に良さそう。洗髪時の抜け毛が減った^_^
2020-09-08,4,"""3匹の子牛さん"" ",https://review.rakuten.co.jp/my/ODNjNmNjZGUzN2RmNzExMg__/1.0.0.1/,40代 女性,"
","
","
","
","念願のシャボン玉シャンプーリンスです。　

使い勝手は色々なレビューから、慣れが必要なのかな？と覚悟してます。　

これから使う予定ですが、中身は良いと信じて星4です。"
2020-08-08,5,"""ナットウままさん"" ",https://review.rakuten.co.jp/my/MTZkZDNjY2U5OWM5M2YxOA__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,はじめて,"
","界面活性剤がよくないと聞き、シャボン玉石鹸でシャンプーしてましたが、きしきしで髪の毛が長い私にはストレスでした。　

髪専用のシャンプーを試してみようと購入しました。　

シャンプーして流すとめちゃきしみますが、リンスして少しおいておくと指通りがよくなります。　

乾かすと頭皮がすっきりして髪もさらさらになります。　

ちなみに、体もシャボン玉石鹸で洗っており、シャンプーもシャボン玉石鹸に変えてから顔のトーンまで明るくなってきたような気がしてます。　

家族皆で使ってます。　

おすすめです。"
2020-06-18,3,"""ごくらくかぞくさん"" ",https://review.rakuten.co.jp/my/ODI1NjE0NzRhY2NhMjgxOA__/1.0.0.1/,60代 男性,実用品・普段使い,女性（彼女、妻）へ,はじめて,リンスがちょっと？,"シャンプーは良かったです。　

リンスは髪には良いのでしょうが、「ギシギシ感」強くて櫛の通りが悪いです。"
2020-06-11,4,"""らんちゃびんさん"" ",https://review.rakuten.co.jp/my/YzIwYjJiMzczMDg5MmUxZg__/1.0.0.1/,40代 男性,"
","
","
","
",他の子供用シャンプーより洗浄力がありそうで、ロングヘアに必要なリンスもあって、こちらにしてみて良かったように思います。
2020-05-18,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,石鹸,石鹸シャンプー歴2年の私は、1回目ですぐに泡立つシャンプー出来ますが、初めて石鹸シャンプーにトライの息子は、泡が消える〜泡立たない〜、と毎日苦戦しております。泡で出てくるタイプですが、まあ、初めの頃はどのメーカーでも泡立たずに、こんな感じでしょう。リンスは、洗面器に混ぜて使うタイプの方が私には合ってるようです。
2020-05-14,4,"""相野ゆうとさん"" ",https://review.rakuten.co.jp/my/Njc5YjIzNTk2MjI2/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,便利,"最初から泡で出るのがいいなと思って購入。　

想像よりしっかりとした泡でした。　

泡立てる必要ないので楽です。　

無添加もよさそうな感じです。　

注意にありましたが最初はきしみを感じました。　

が、そのうち慣れました。　

洗い上がりもやわらかい感じです。　

香りが欲しい人には物足りないかも。"
