,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-11-02,4,"""かなう1913さん"" ",https://review.rakuten.co.jp/my/Yjk4N2M2ZWU0YzAyNzYxYw__/1.0.0.1/,40代 女性,"
",自分用,"
","
","届くのも早くてよかったです。　

匂いは好き嫌いはあるかもしれませんが、私的には大丈夫です。"
2020-11-02,5,"""ナオカナ2721さん"" ",https://review.rakuten.co.jp/my/ZjkwMjg2NmViMDQ2OTUxYw__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,これはいい！,色々試してこのシャンプー＆トリートメントが1番です！これは使い続けたいです。髪の量が多い私、娘達の髪がまとまり、はねなくなりました。
2020-11-02,3,"""nahtang21さん"" ",https://review.rakuten.co.jp/my/OTE1NWRlMGU4MzI0/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,シャンプーだけ良い,"髪質は細くて柔らかい、超敏感肌の頭皮です。　

頭皮のベタつきが気になって購入。　

今のところかゆみやかぶれはなく、頭皮のベタつきは消えました。　

シャンプーは思っていたより指どおりもよい。　

コンディショナーはあまりよくなく次の日も髪が広がるのでリピなし　

香りはとてもよいです。"
2020-11-01,5,"ゲストさん"" ","
","
","
","
",リピート,"
","リピート。　

リニューアルされてから今日初めて使用しました。　

以前よりも泡立ちが確かにもちもちしています。　

抜け毛は減ってませんが、根元からふんわり(ハリ)してセットがしやすいのでお気に入りです。　

シャープだけでも十分しっとりするので、次回はシャープだけ購入したいと思います。　

以前よりも量が増えて良かったです☆"
2020-11-01,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","リピートしています。　

泡立ちもいいし、シャンプーで　

癒されています。"
2020-10-31,4,"ゲストさん"" ","
","
","
","
","
","
","3回リピートした後、違う商品を使ってましたがやはりこのシャンプーのほうが、私の髪には合ってました。　

髪にツヤがでて、まとまりやすくなります！！"
2020-10-31,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,サラサラ〜,めっちゃいいです。シャンプー最高&amp;#10071;めっちゃ天パですが1回洗っただけでも割に扱いやすくなります高いシャンプー使ってたけどこっちのシャンプーのが断然いいです。リピート決定です。
2020-10-30,5,"""akeppさん"" ",https://review.rakuten.co.jp/my/YjUyM2EyMTI2YjlhNzQ_/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,いい感じ&amp;#10024;,"オーガニックの違うシャンプーも使いましたが、まとまらなくで、こちらに挑戦　

泡立ちも良くキシキシにならない！　

トリートメントもいい感じ　

白髪染め、縮毛矯正、硬くて太い髪が、しっとり広がらずまとまりもいいです。　

香りは乾いたら気にならない程度です。　

洗い流さないトリートメントも買おうかな。　

この商品だけでなく、他のシャンプーにも言える事ですが、お試し用を作って欲しいですね。　

前回買ったシャンプートリートメントは、結局中身は排水溝に捨てるしかなく、処理に困ります。"
2020-10-29,4,"""kyattuporinpuさん"" ",https://review.rakuten.co.jp/my/MDNiMzU2NWQzM2MzNTAxYQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,"
","年齢を重ねるにつれ、髪のボリュームが気になり始めレビューを見て購入してみました。　

 泡立ち、香り、いい感じです。　

つむじ割れも、改善されているようです。　

 洗い上がりもサラサラです!"
2020-10-25,5,"""なーにゃ&amp;#9825;さん"" ",https://review.rakuten.co.jp/my/YmMzZjM2MGY0ZThkNDcxMA__/1.0.0.1/,30代 女性,"
","
","
","
","香りがいい。　

とにかく香りがよく、洗っていて嬉しいです。　

トリートメントは潤い感がイマイチですが、シャンプーがとても良いのでリピートありだと思いました。"
