,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-08-13,4,"""Anyo05さん"" ",https://review.rakuten.co.jp/my/MWNlYzhhNjM1MWMzNDcxNg__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,王道シャンプー,"もともとダイアンが合うので今回はアミノ酸系のボタニカルにしました！クチコミで人気のモイストにしたのですが、いつも通り洗い上がりがツヤッとします。　

香りは好みが出ると思いますが、私はふわっと香るこの香り好きです。アミノ酸系の欠点である洗浄力が気になるので、今後も使ってからのリピート検討です。"
2020-05-05,5,"""suisuimedakaさん"" ",https://review.rakuten.co.jp/my/ZDRkNDU0NDcyMGE5NGQ_/1.0.0.1/,60代 女性,実用品・普段使い,家族へ,リピート,いい品で、おすすめ,"安心して毎日使ってます。　

量が多いから買いに行く手間なしで便利です。"
2020-03-19,3,"""カモメ9798さん"" ",https://review.rakuten.co.jp/my/YTg5N2EwZWVkYjllYTIxOA__/1.0.0.1/,40代 女性,"
","
","
","
","母が緑の方を使っていて 使わせてもらったらよかったので そちらを買おうと思いましたヵが ハイダメージなのでピンクのほうを購入。　

特に悪くもないけど やはり緑の方がよかったかな。なくなったら 次は緑を購入しようかな。"
2020-03-03,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","早いお届けありがとうございました♪　

もう、だいぶ前からドラッグストアから消えてしまい　

仕方なく同じダイアンのホイップversionを使っていましたが　

こちらで、まだ売り続けてくれているのを知り購入しました。　

また、もう少ししたら購入します。　

髪の毛に艶々になり、同年代の人より若く見られます♪　

香りも好きです♪"
2020-01-28,4,"""まい３２８７さん"" ",https://review.rakuten.co.jp/my/ZmU4Y2ZhYzgyNjFmODM_/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,いつも、コレ。,いつも愛用しています。髪の毛がしっとりします。香りも素敵ですが、すぐ消えてしまいます。ただ、コンディショナーがトロトロで、少なくなると、ポンプを押しても出てこないので、逆さまにしたり、キャップを開けてポンポンして使っています。その点が改善されたら満点です。
2019-11-05,4,"""ki-cyaさん"" ",https://review.rakuten.co.jp/my/OTQ1MGNkNjAxMWJiMmQxNg__/1.0.0.1/,60代 男性,"
","
","
",リピート購入です！,"ボタニカルシャンプー・リンスを検索し‥　

こちらのものを使い続けています！　

詰め替え用でリピート購入してましたが、　

容器が気になりだしたのでどうしようか？と！　

詰め替え用を送料別で購入するよりお得かと‥　

送料込みで容器ごとをリピート購入しました。　

遊びに来ては我が家でお風呂に入っていく幼い孫達‥　

そんな孫達の髪もサラサラつやつや香りも良しで使用中です。"
2019-10-19,5,"""おうか0413さん"" ",https://review.rakuten.co.jp/my/Y2U2ZmU4NGU3YTFjOTkxNA__/1.0.0.1/,20代 男性,"
","
","
","
",リピートです。近くのドラッグストアになく、送料無料なので！
2019-08-15,3,"""おおやん。さん"" ",https://review.rakuten.co.jp/my/ZTVhMDJlYWM2YTM1OTkxNg__/1.0.0.1/,50代 男性,"
","
","
",概ね良いです。,ﾉﾝｼﾘｺﾝ・ｻﾙﾌｪｰﾄﾌﾘｰ･無添加は良いです。 ただｵｲﾙのせいか使い心地がさっぱりしておらず、香りも清涼さのない微妙な香りです。せっかく良いのにそこが残念。
2019-07-28,5,"ゲストさん"" ","
","
","
","
","
","
","肌にやさしいシャンプーで、お値段もお手頃、ずっとシャンプー難民だったのが定着しそうな商品です。　

香も香過ぎず、泡立ちも良く、家族で使っています。　

近所のドラッグストアでは取り扱っていないので送料無料で助かります。　

子供達は青いボトルのタイプを使うのですが、何故かその種類だけはセットではないんですね、何故でしょう？"
2019-05-19,3,"""nico9952さん"" ",https://review.rakuten.co.jp/my/ODZkMWY1Y2JlMDI1/1.0.0.1/,60代 女性,実用品・普段使い,自分用,はじめて,もう少し効果が欲しい,"加齢とヘアカラーも有るでしょうが、パサパサでした。毎日朝晩ドライヤーを何年もつづけています。　

ヘアカラーはやめました。髪型は短く癖毛です。　

使い出して約1カ月まだ続けます。泡立ちは少ないとおもいます、香りは淡く好きです。"
