,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2020-10-13,5,"""Happy Angelsさん"" ",https://review.rakuten.co.jp/my/ZGQ0YjhiN2I4NzE1OTQxMA__/1.0.0.1/,50代 女性,"
","
","
","
","リピ品です。　

買い物に行く手間が掛からず、お値段も良いので。"
2020-10-04,5,"""sometime34さん"" ",https://review.rakuten.co.jp/my/ZjkxYjc1NmEwOGZhOWYxNA__/1.0.0.1/,20代 男性,実用品・普段使い,自分用,はじめて,めちゃめちゃ量多いです,普段使いしているシャンプーなので大きいものを購入しました。使い切ったらまた買います
2020-08-28,4,"ゲストさん"" ","
","
","
","
","
","
",リンスと一緒に家族が多い妹家族に定期的に購入してます
2020-08-07,5,"""ウィスタさん"" ",https://review.rakuten.co.jp/my/ZDcwNWViYzViN2ViYzM_/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,はじめて,様々な,シャンプーを使いましたが、ここに戻ります。髪も傷まず洗い上がりの香りも、ほんのりフローラルです。
2020-06-13,4,"""ミユキークイーンさん"" ",https://review.rakuten.co.jp/my/YjEyYzE2ZGM3MTczYTIxNw__/1.0.0.1/,40代 女性,"
","
","
",よい香り,香りもよく、使用感もよいです。移し替えの手間はありますが、お得だと思います。
2020-06-07,5,"""まりちやん8460さん"" ",https://review.rakuten.co.jp/my/NDBiZDZkNTI5MTg3MmQxMA__/1.0.0.1/,60代 女性,"
","
","
","
",普通サイズですと 頻繁に購入していたのがこの容量だと安心ですね！&amp;#128523;また、リピートします。
2020-05-31,5,"ゲストさん"" ","
","
",プレゼント,家族へ,はじめて,老老生活の2人のために。,"なかなか無いよね、このサイズ。　

母の日からは遅れたけど、母が長年ご愛用のコレを薬局で購入する息子さんの為にも、プレゼント致しました。"
2020-05-10,5,"""た55た55さん"" ",https://review.rakuten.co.jp/my/N2UxMmZhNjUxZDVlMzQxYw__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,リピート,潤いのある髪になるシャンプー,"洗った後の髪質が潤っている感じで気に入っています。　

私の髪質には合っているようです。"
2020-05-02,5,"ゲストさん"" ","
","
","
","
","
","
",いつも購入しています。コロナの影響で買い物客の増えたドラッグストアに行く事を出来るだけ避けたく、量も多いしお安いので助かります。
2020-04-26,5,"""ともちん3236さん"" ",https://review.rakuten.co.jp/my/NTdhNjhlNTczMTM2YzM_/1.0.0.1/,30代 女性,"
","
","
","
",いつものシャンプー。大容量で重いので助かりました。
2020-01-20,5,"""a19836965さん"" ",https://review.rakuten.co.jp/my/OTU2ZTZlNTIzOTdkNGExMg__/1.0.0.1/,30代 女性,実用品・普段使い,自分用,リピート,気に入っています！,パンテーンは好きで、いつも使っています。6回分入っていますが、家族で使っているので、割とすぐに無くなります。またリピします。
2019-11-20,5,"""あすか7726さん"" ",https://review.rakuten.co.jp/my/MmJhM2JkYzgwMWUxMjAxOQ__/1.0.0.1/,50代 女性,実用品・普段使い,自分用,はじめて,とっても良い香り,"パンテーンは使った事があるのですが　

以前ドラックストアで買ったものとは香りが違いました。　

これの方が好きです。"
2019-11-04,5,"""tanbabyさん"" ",https://review.rakuten.co.jp/my/N2VmMWZhMWUwYjIx/1.0.0.1/,50代 男性,実用品・普段使い,家族へ,リピート,よかったです。,いつも使う物なので、安く買えるので良いです。
2019-09-27,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","配達も早いので、定期的に購入しています。　

やはり重いものが自宅に届くのは便利です。"
2019-08-20,4,"""嬉依ちゃんさん"" ",https://review.rakuten.co.jp/my/NjQ1NTI0ZGY4ZDBhYjMxZg__/1.0.0.1/,60代 女性,"
","
","
","
",早く送って来たので良かった。お得なので又買いたいと思います
2019-05-30,5,"ゲストさん"" ","
","
","
","
","
",良い香り,"お求め易い価格になってたので買いました。　

大容量で長持ちします。　

無くなったらまた買います。"
2019-04-19,5,"""ヤットンママさん"" ",https://review.rakuten.co.jp/my/NTAzNWUyZTQyZWM0MjMxYQ__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,ずっと愛用してます。,パンテーンは長く愛用していて、時々他メーカーを使ってみたりしても、しっとりさがもの足りず、結局こちらに戻ります。香りもいいです。
2019-03-08,5,"""piko1864さん"" ",https://review.rakuten.co.jp/my/NTkzMzk5ZDJhZmU0MWYxMg__/1.0.0.1/,20代 女性,"
","
","
",大容量で良い,大容量で何度も買う必要が無いので重宝しています。
2019-02-17,5,"""jmwgjmwgさん"" ",https://review.rakuten.co.jp/my/NTExNWZjZTQ5ZDJjMzkxMw__/1.0.0.1/,50代 女性,実用品・普段使い,家族へ,リピート,よかったです,沢山入っているので、長く使えて助かります。
2019-02-12,4,"""赤青黄色っちさん"" ",https://review.rakuten.co.jp/my/NDY3MzhhMWYwYmEyMjI_/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,リピート,"
",コンディショナーが同商品なので、シャンプーもセットで使用しており、無くなる度にリピートしています。単品使用ではないため、他製品とダメージケア効果がどうなのかは分かりませんが、香りは気に入っています。
2019-02-11,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,助かりました,忙しくて買いに行けなかったので、まとめ買いができてよかったです。
2019-02-04,4,"""ひろぽんチャクラさん"" ",https://review.rakuten.co.jp/my/NWM4MGM0NTE0ZmY1OTgxNg__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,はじめて,大容量,いつも無くなってから家族に指摘され近所のドラッグストアに買いに行っていたのですがこの商品は大容量でお得感もあり、忙しい私には大助かりです。
