,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2019-11-13,5,"ゲストさん"" ","
","
","
","
","
",フワフワ,"になります！　

パックのように少し時間を置いて流すとフワフワさらさらです！　

シリーズで揃えようか考え中です。"
2017-03-16,3,"""イグイグ32211さん"" ",https://review.rakuten.co.jp/my/MzMwYjQ4MDIzNTdmMjAxMg__/1.0.0.1/,40代 女性,"
","
","
",ぱさつかずいいです。,"長いこと同じシャンプーやリンスを使っていると、パサ付くことがあるのですが、これはけっこう長く使用しています。　

ただ、値段が他店に比べると高くことに最近気がつきました。　

次はリピなしです。"
2017-03-15,4,"""イグイグ32211さん"" ",https://review.rakuten.co.jp/my/MzMwYjQ4MDIzNTdmMjAxMg__/1.0.0.1/,40代 女性,実用品・普段使い,家族へ,リピート,お気に入りトリートメント,"シャンプーと一緒に購入してます。　

使い心地もよく、長く愛用しています。"
2016-11-05,4,"ゲストさん"" ","
","
","
","
","
","
",しっとりタイプということですが、むしろさっぱりタイプのように感じるほどしっとりはしていませんでした。アウトバストリートメントをがっちりつけないとパサパサします。（私はドライヘアです）でも、年頃の汗臭い息子達はすごくいいと絶賛しています。
2016-06-22,4,"ゲストさん"" ","
","
","
","
","
",サラサラに,使用するとサラサラになります。香りも好きです。お値段もお手頃なので助かります。
2016-03-20,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,リピート,使いやすい。,"とても良いです☆☆☆　

しっとりサラサラするのがドライヤーで乾いていくうちから分かります。　

リーズナブルだし、ずっとリピートです。"
2016-02-10,4,"""イグイグ32211さん"" ",https://review.rakuten.co.jp/my/MzMwYjQ4MDIzNTdmMjAxMg__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,リピート,しっとりなめらか,半年ほど使用しています。パサ付いた髪がしっとりしてきたように思えます。香りも良くて、使っていると落ち着きます。ずっと使っていけそうなトリートメントです。
2016-01-28,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",これまで色々な商品を使ってきましたが、とてもしっとりし、凄く良いです。
2016-01-07,4,"""庭木花さん"" ",https://review.rakuten.co.jp/my/ZTc1NGM1YmQ1NDhiMjYxYw__/1.0.0.1/,30代 男性,実用品・普段使い,家族へ,はじめて,なつかしいシャンプー,子供の頃、使っていました。とても優しい香りで癒されます。近くには置いていないのでまた購入したいです。
2015-12-27,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,購入に関して,"中々、近場で販売していない商品でしたので、購入できてよかったです。　

また迅速な対応でしたので、ご対応にも非常に満足しております。"
2014-12-17,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,良かったです,ツルツルになるので気に入っています。ノンシリコンではないけれど、私はダメージヘアなので ちょうど良いです
2014-04-21,5,"ゲストさん"" ","
","
",実用品・普段使い,"
","
","
",アロマのスッキリした香りに癒されます。あまり売っていないので、今後もこちらで購入したいと思います
2013-10-07,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,ノンシリコンではなかった,シャンプーがノンシリコンなのでうっかり確認せずに買ってしまいました。香りはよくてさらさら感はあるのでシリコンにこだわりのない人にはお勧めですが、ノンシリコンがよいのでもう買わないです。
2013-08-26,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","いいです！匂いも素晴らしい！　

サラっとしてるけど３分つけて流すととても潤います！　

気に入りました！"
2013-07-05,5,"""Go cycloneさん"" ",https://review.rakuten.co.jp/my/ZDAyMmE0NzZkYmVhMjU_/1.0.0.1/,40代 女性,実用品・普段使い,"
",はじめて,CP高いです＾＾,しっとりと潤うというよりも、サラサラで指通りの良いエアリーな仕上がり。潤っているのに重さがないのが好印象。香りは弱めの柑橘系で心地良いです。変に主張のある香りではないので、シャンプー後、他フレグランスをつけてもかぶりません。最近使用したトリートメントでは一番性能が良いと思いました。
2013-06-15,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","こちらはシャンプーと違いシリコン配合と思われます。　

ノンシリコンのものとは使用感が異なり、ぬめりが強いです。　

ノンシリコンに慣れていたため、流す時にしっかり流さないと残っちゃう感じがして、そこが少し残念ですが、しっとり仕上がってくれるので文句は言えません。。"
2013-05-22,5,"""∞サクラさん"" ",https://review.rakuten.co.jp/my/MjJmMWQ1YjI0NDliM2UxZQ__/1.0.0.1/,40代 女性,"
","
","
",さらさらです。,"つぎの日の朝、髪の指通りが良く、さらさらっとして軽く、大変満足です。　

それに、香りも良い。"
2013-05-22,5,"""sunnyさんさん"" ",https://review.rakuten.co.jp/my/ZjBiMWI3NWRjNjAyYzM_/1.0.0.1/,30代 女性,実用品・普段使い,家族へ,はじめて,"
","優木まおみちゃんのblogみて、買いました。　

髪にのばすとしっとりなめらかです。しばらくリピ決定です。"
