,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2018-03-30,5,"""nami-namieさん"" ",https://review.rakuten.co.jp/my/N2NhZWJmY2FlYTc1NTg_/1.0.0.1/,40代 女性,"
",自分用,"
","
",送料分も入れても、まとめ買いすればドラッグストアで買うより断然お得です。発送もすぐにして頂けるし、リピートしています。
2018-03-23,5,"""nami-namieさん"" ",https://review.rakuten.co.jp/my/N2NhZWJmY2FlYTc1NTg_/1.0.0.1/,40代 女性,"
","
","
","
",まとめ買いになりますが、とても安く買えて満足しています。
2018-02-01,4,"ゲストさん"" ","
","
","
","
","
","
",迅速な対応いただき、ありがとうございます。
2017-12-15,5,"ゲストさん"" ","
","
","
","
","
","
","近くのドラッグストアーより300円も安いのでシャンプーと合わせて１０個購入しました。　

19倍ポイントが付いたのでポイント分と3,000円お得になりました。　

送料かかっても損はしません。得した気分。　

しかも荷物が実家から送られてきたような親近感が味わえます。　

ダンボールや品物が動かないようにする資材がメーカーからきたものをうまく使ってて素晴らしいとおもいました。ある物でまかなって余計な経費をかけずその分安く提供してくれてる気がします。　

有難いです。"
2017-12-11,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",愛用しているこちらの商品をとてもお安く購入出来、大満足です。また発送も迅速でよかったです^_^またリピートします！
2017-11-29,5,"""やしゅ119さん"" ",https://review.rakuten.co.jp/my/OWVhZjhkNDhhNzM1Nzk_/1.0.0.1/,30代 女性,"
","
","
","
",リピ買いです。低価格でありがたいです！！
2017-09-24,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,今日届きましたぁ,"この商品は普段からドラッグストアー等で購入していましたが、もっと安くで購入出来ないかと思いネットで検索してここのお店にたどり着きました。注文から商品が届くまで早かったです。シャンプーと一緒にまとめ買いしました。　

また使い終わったらリピしたいと思ってます。"
2017-09-24,5,"""やしゅ119さん"" ",https://review.rakuten.co.jp/my/OWVhZjhkNDhhNzM1Nzk_/1.0.0.1/,30代 女性,"
","
","
","
",リピ買いです。ふんわりした優しい香りです。
2017-09-03,4,"ゲストさん"" ","
","
","
","
","
","
",いい香りで、髪の毛のまとまりも良いです。
2017-08-30,5,"""sakiiittyさん"" ",https://review.rakuten.co.jp/my/ZWJhNTgxYTZjZTM3NGYxOQ__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,はじめて,迅速でした！,すごく迅速に対応いただきました！到着がすごく早くて助かりました！また次回も利用したいと思います！
2017-08-17,3,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,★,"迅速な対応でした♪　

ワガママを言えば送料込みになると嬉しいですね。"
2017-08-05,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","香りも良くていつも使用している商品がお安く購入出来て良かったです。　

これからもこちらのショップで購入させていただきます。"
2017-06-25,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,リピート,"
","シャンプーとセットで購入しています。　

私に合っていると思います。"
2017-06-05,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,お得でした！,"近所のドラッグストアで購入するより大変安くて、まとめ買いしました。　

いつも重いなーと思っていたのが自宅に届き楽させてもらいました。"
2017-05-11,4,"""やしゅ119さん"" ",https://review.rakuten.co.jp/my/OWVhZjhkNDhhNzM1Nzk_/1.0.0.1/,30代 女性,"
","
","
","
",リピ買いです。価格も使い心地も満足です！
2017-05-02,5,"""はぁちゃん426さん"" ",https://review.rakuten.co.jp/my/ZDliNjJjMTk5NDhmYzQ_/1.0.0.1/,60代 女性,実用品・普段使い,自分用,リピート,"
","とてもお安くて助かります。　

送料無料＋他の商品　

送料も助かります。　

ラックス ルミニーク ダメージシリーズは、　

販売開始から、気に入って使用しています。"
2017-01-16,5,"ゲストさん"" ","
","
",実用品・普段使い,家族へ,はじめて,"
",安いです。詰め替え用を滅多にみないので とっても助かります。
2017-01-10,5,"ゲストさん"" ","
","
","
","
","
","
",指通りがとても良くなり、ダメージも気にならなくなりました。おすすめです。
