,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日付,評価,名前,プロフィールURL,年代・性別,使い道,使う人,購入した回数,レビューのタイトル,レビューの本文
2017-04-05,3,"""ふくすけ620さん"" ",https://review.rakuten.co.jp/my/Y2RjNDU5YWExZDA1MzMxYw__/1.0.0.1/,40代 女性,実用品・普段使い,自分用,はじめて,香りがいいです。,行きつけの美容室でこれを使っていて、自宅でもこの香りに浸りたくて購入しました。
2016-01-23,5,"""tomoりん０１２２さん"" ",https://review.rakuten.co.jp/my/OGM0YTIzMmRlZjZmMzgxYw__/1.0.0.1/,40代 男性,実用品・普段使い,女性（彼女、妻）へ,はじめて,フレッシュメント,シャンプーには地肌のさっぱり感、髪の仕上がりの好みでトリートメントは選ぶようにしてます。このシャンプーは３種の中で一番洗浄力高いのでさっぱり感は申し分ない。香りも柑橘系の爽やかさ。夫婦で使うなら男性にも相性良さげな感じです。フサフサボリュームアップでダンナの髪が増えたように見えます。スッとするメントール配合のようですが、男性用にありがちなガッツリスースーすることはありません、あくまで控えめなメントールで冬場でも頭が寒くなることはありませんよ。
2016-01-18,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
","いつもは、ルベル イオ セラム クレンジングを使用しているのですが、　

頭皮をさっぱりさせたい時に、こちらの商品をしてみました。　

使い心地も、とても良いです。"
2015-07-30,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,"
",まだ一度しか使ってませんが、洗いあがりがサッパリしてて好みの感じです。
2015-07-12,5,"""chiiiiikaさん"" ",https://review.rakuten.co.jp/my/NDI5YmJmMDc1ZTg0YTQ_/1.0.0.1/,20代 女性,実用品・普段使い,自分用,リピート,かなりよいです,二本目です(^^)いつもはアジュバンを使っていましたが、高いのでイオに変更。アジュバンよりいいかも！
2015-07-07,5,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,爽やかな香り,"リコミントを使っていますが、夏用に香りも柑橘系のこちらを初めて購入しました。　

使用感はリコミントに似てるのかなーという感じです。"
2015-06-02,4,"ゲストさん"" ","
","
",実用品・普段使い,自分用,はじめて,すっきりします。,"受注番号 255497-20150311-0151861323　

もう少しで、1本使い切りますが、さっぱりします。　

洗い流す時、少しきしむ感じがするので、次は他のタイプを使ってみようと思います。"
2015-04-13,5,"ゲストさん"" ","
","
","
","
","
","
",255497-20150409-0307332207です。すっきりした使い心地と香りがきつくないところが気に入っています。
2015-01-31,5,"""wan3223さん"" ",https://review.rakuten.co.jp/my/MmQ2N2ZhMzIyYzQwNDkxNw__/1.0.0.1/,20代 女性,実用品・普段使い,自分用,"
",良い！,一番安くていつも利用しています。丁寧に包装されています！
2015-01-05,5,"""daiku333さん"" ",https://review.rakuten.co.jp/my/YmQ0ZjQ1NjJiZGViNjU_/1.0.0.1/,40代 男性,実用品・普段使い,家族へ,はじめて,満足です,"オレンジのさわやかな香り（ちょっときつめですが）、きめ細やかな泡立ち、そしてさっぱりと地肌を洗い上げるこのシャンプーは、これまで色々なシャンプーを使ってきた中でも自分に合ってます。HPでは洗浄力が高く、髪がきしむようなことが書いてありましたが、そんなことはなく、髪もサラサラに仕上がります。　

夏はクールタイプのイオを使ってみたいと思いますが、しばらくはこれを使い続けたいと思います。"
2014-11-03,4,"ゲストさん"" ","
","
","
","
","
",いつも愛用しています,泡立ちがよく、洗い終わると地肌がスーッとします。夏には特にすっきりしいいです。
